nombre_local_hallazgo,terminologia,preferido,sinonimo,jerarquia,terminology_code,sinonimo_1,sinonimo_2,sinonimo_3,sinonimo_4,sinonimo_5,comentario
hemorragia intracreaneal,snomed,hemorragia intracreaneal,,trastorno,1386000,,,,,,
signos lesión isquémica aguda,snomed,isquemia cerebral aguda,,trastorno,16218291000119100,,,,,,
caudado,snomed,estructura del núcleo caudado,núcleo caudado,estructura corporal,11000004,núcleo caudado,,,,,
lenticular,snomed,estructura del núcleo lenticular,núcleo lenticular,estructura corporal,41648007,núcleo lenticular,,,,,
cápsula interna,snomed,estructura de la cápsula interna del cerebro,cápsula cerebral interna,estructura corporal,85637007,cápsula interna del cerebro,cápsula cerebral interna,estructura de la cápsula interna,,,
ribete insular,snomed,estructura de surco insular,surco insular,estructura corporal,314190005,estructura de surco insular,surco insular,,,,
segmento M1,radlex,M1 segment of middle cerebral artery,sphenoid part of middle cerebral artery,anatomical structure,RID666,segmento esfenoidal de arteria cerebral media,"arteria cerebral media, segmento M1",,,,
segmento M2,radlex,M2 segment of middle cerebral artery, insular segment of middle cerebral artery,anatomical structure, RID671,segmento insular de arteria cerebral media,"arteria cerebral media, segmento M2",,,,
segmento M3,radlex, M3 segment of middle cerebral artery,cortical part of middle cerebral artery,anatomical structure,RID680,"arteria cerebral media, segmento M3",segmento opercular de la arteria cerebral media,,,,
segmento M4,radlex,M4 segment of middle cerebral artery,,anatomical structure,RID682,"arteria cerebral media, segmento M4",porción cortical de la arteria cerebral media,,,,
segmento M5,local,,,,,,,,,,
segmento M6,local,,,,,,,,,,
ASPECTS,snomed,escala de tomografía computarizada temprana del programa de accidentes cerebrovasculares de Alberta,escala ASPECTS (Alberta Stroke Program Early CT score) - escala de tomografía computarizada temprana del programa de accidentes cerebrovasculares de Alberta,escala de evaluación,1290003007,evaluación con escala ASPECTS (Alberta Stroke Program Early CT Score),evaluación con escala de tomografía computarizada temprana de programa de accidentes cerebrovasculares de Alberta,,,,"La escala puede tomar valor del 0 al 10. Se debe captar el concepto con su valor. Ej: ""ASPECTS 9""."
arteria cerebral anterior,snomed,estructura de la arteria cerebral anterior,arteria cerebral anterior,estructura corporal,60176003,arteria cerebral anterior,,,,,
arteria cerebral anterior derecha,snomed,estructura de la arteria cerebral anterior derecha,arteria cerebral anterior derecha,estructura corporal,369298005,arteria cerebral anterior derecha,,,,,
arteria cerebral anterior izquierda,snomed,estructura de la arteria cerebral anterior izquierda,arteria cerebral anterior izquierda,estructura corporal,369299002,arteria cerebral anterior izquierda,,,,,
arteria cerebral posterior,snomed,estructura de la arteria cerebral posterior,arteria cerebral posterior,estructura corporal,70382005,arteria cerebral posterior,,,,,
arteria cerebral posterior derecha,snomed,estructura de la arteria cerebral posterior derecha,arteria cerebral posterior derecha,estructura corporal,369300005,"
arteria cerebral posterior derecha",,,,,
arteria cerebral posterior izquierda,snomed,estructura de la arteria cerebral posterior izquierda,arteria cerebral posterior izquierda,estructura corporal,369301009,arteria cerebral posterior izquierda,,,,,
cerebelo,snomed,estructura cerebelosa,cerebelo,estructura corporal,113305005,cerebelo,,,,,
troncoencéfalo,snomed,estructura del tronco cerebral,tronco encefálico,estructura corporal,15926001,tronco del encéfalo,tronco encefálico,,,,
trombo hiperdenso,snomed,,,,,,,,,,
arteria carótida interna,snomed,estructura de la arteria carótida interna,arteria carótida interna,estructura corporal,86117002,arteria carótida interna,,,,,
