concepto,narrativa
230690007,"230690007 tiene código 230690007 230690007 tiene término preferido Accidente cerebrovascular 230690007 tiene sinónimo ictus 230690007 tiene sinónimo ACV 230690007 tiene sinónimo ataque cerebral 230690007 tiene sinónimo apoplejía 230690007 tiene sinónimo infarto cerebral 230690007 tiene sinónimo derrame cerebral 230690007 tiene sinónimo evento cerebrovascular 230690007 se define como: Déficit neurológico agudo resultado de interrupción del suministro sanguíneo al tejido cerebral. Puede ser isquémico (arteria bloqueada) o hemorrágico (vaso roto). Causa principal de discapacidad y muerte. Síntomas incluyen debilidad, dificultad del habla, problemas visuales. 230690007 pertenece a la terminología snomed 230690007 es de tipo Class 230690007 es de tipo Clinical_Finding"
13791008,"13791008 tiene código 13791008 13791008 tiene término preferido Debilidad muscular 13791008 tiene sinónimo debilidad 13791008 tiene sinónimo astenia 13791008 tiene sinónimo paresia 13791008 tiene sinónimo déficit motor 13791008 tiene sinónimo fuerza reducida 13791008 tiene sinónimo debilidad de extremidad 13791008 tiene sinónimo debilidad del brazo 13791008 tiene sinónimo debilidad de la pierna 13791008 se define como: Capacidad reducida para ejercer fuerza muscular. Síntoma común de ictus. Debilidad unilateral sugiere lesión del hemisferio cerebral. Evaluado usando escala Medical Research Council. Puede afectar cara, brazo o pierna. 13791008 pertenece a la terminología snomed 13791008 es de tipo Class 13791008 es de tipo Clinical_Finding"
50582007,50582007 tiene código 50582007 50582007 tiene término preferido Hemiparesia 50582007 tiene sinónimo debilidad de un lado 50582007 tiene sinónimo déficit motor unilateral 50582007 tiene sinónimo debilidad hemisférica 50582007 tiene sinónimo parálisis parcial de un lado 50582007 tiene sinónimo déficit motor del hemicuerpo 50582007 se define como: Debilidad que afecta un lado del cuerpo. Presentación clásica de ictus. Sugiere lesión del hemisferio cerebral contralateral. Patrón cara-brazo-pierna. Evaluado con ítems motores del NIHSS. Patrón de neurona motora superior. 50582007 pertenece a la terminología snomed 50582007 es de tipo Class 50582007 es de tipo Clinical_Finding
8011004,8011004 tiene código 8011004 8011004 tiene término preferido Disartria 8011004 tiene sinónimo habla arrastrada 8011004 tiene sinónimo trastorno de articulación 8011004 tiene sinónimo trastorno motor del habla 8011004 tiene sinónimo alteración de la articulación 8011004 tiene sinónimo habla pastosa 8011004 se define como: Trastorno motor del habla con articulación alterada. Resultado de debilidad o incoordinación de músculos del habla. Sugiere lesión del tronco cerebral o cerebelo. Se distingue de la afasia. Ítem de disartria del NIHSS. 8011004 pertenece a la terminología snomed 8011004 es de tipo Class 8011004 es de tipo Clinical_Finding
50960005,50960005 tiene código 50960005 50960005 tiene término preferido Hemorragia 50960005 tiene sinónimo sangrado 50960005 tiene sinónimo hemorragia cerebral 50960005 tiene sinónimo hemorragia intracraneal 50960005 tiene sinónimo hemorragia intracerebral 50960005 tiene sinónimo sangrado cerebral 50960005 tiene sinónimo hematoma cerebral 50960005 se define como: Escape de sangre de los vasos. Puede ser externa o interna. Causa principal de ictus hemorrágico. Gestionado con hemostasia y productos sanguíneos. Contraindicación para trombólisis. 50960005 pertenece a la terminología snomed 50960005 es de tipo Class 50960005 es de tipo Clinical_Finding
55342001,55342001 tiene código 55342001 55342001 tiene término preferido Infarto cerebral 55342001 tiene sinónimo infarto 55342001 tiene sinónimo infarto isquémico 55342001 tiene sinónimo necrosis cerebral 55342001 tiene sinónimo muerte de tejido cerebral 55342001 tiene sinónimo daño cerebral permanente 55342001 tiene sinónimo zona de infarto 55342001 se define como: Muerte de tejido cerebral por falta de suministro sanguíneo. Resultado de ictus isquémico. Daño neurológico permanente. Visualizado en TC o RM como área hipodensa. Territorio de arteria cerebral media es más común. 55342001 pertenece a la terminología snomed 55342001 es de tipo Class 55342001 es de tipo Clinical_Finding
433112001,433112001 tiene código 433112001 433112001 tiene término preferido Trombectomía mecánica 433112001 tiene sinónimo trombectomía 433112001 tiene sinónimo terapia endovascular 433112001 tiene sinónimo extracción del trombo 433112001 tiene sinónimo recuperación del coágulo 433112001 tiene sinónimo tratamiento endovascular del ictus agudo 433112001 se define como: Procedimiento endovascular para extraer mecánicamente coágulo sanguíneo de arteria cerebral. Tratamiento para oclusión de vaso grande. Ventana temporal hasta 24 horas en pacientes seleccionados. Usa stent retrievers o catéteres de aspiración. Mejora resultados funcionales. 433112001 pertenece a la terminología snomed 433112001 es de tipo Class 433112001 es de tipo Clinical_Finding
77343006,"77343006 tiene código 77343006 77343006 tiene término preferido Angiografía cerebral 77343006 tiene sinónimo angiografía 77343006 tiene sinónimo arteriografía cerebral 77343006 tiene sinónimo angiograma cerebral 77343006 tiene sinónimo angiografía por sustracción digital 77343006 tiene sinónimo DSA 77343006 tiene sinónimo angiografía diagnóstica 77343006 se define como: Técnica de imagen usando contraste y rayos X para visualizar vasos sanguíneos cerebrales. Estándar de oro para detectar aneurismas, estenosis, oclusiones. Usado para diagnóstico y planificación del tratamiento del ictus. Procedimiento intervencionista. 77343006 pertenece a la terminología snomed 77343006 es de tipo Class 77343006 es de tipo Clinical_Finding"
69930009,69930009 tiene código 69930009 69930009 tiene término preferido Arteria cerebral media 69930009 tiene sinónimo ACM 69930009 tiene sinónimo arteria silviana 69930009 tiene sinónimo segmento M1 69930009 tiene sinónimo segmento M2 69930009 tiene sinónimo territorio de ACM 69930009 tiene sinónimo circulación cerebral media 69930009 se define como: Arteria cerebral más grande. Irriga hemisferio cerebral lateral. Sitio más común de ictus isquémico. Territorio incluye corteza motora y sensorial. Segmentos M1 y M2. 69930009 pertenece a la terminología snomed 69930009 es de tipo Class 69930009 es de tipo Clinical_Finding
26036001,"26036001 tiene código 26036001 26036001 tiene término preferido Oclusión vascular 26036001 tiene sinónimo oclusión 26036001 tiene sinónimo obstrucción arterial 26036001 tiene sinónimo bloqueo del vaso 26036001 tiene sinónimo oclusión de vaso grande 26036001 tiene sinónimo bloqueo arterial completo 26036001 tiene sinónimo oclusión trombótica 26036001 se define como: Bloqueo completo de vaso sanguíneo. Puede ser trombótico o embólico. Oclusión de vaso grande (OVG) requiere trombectomía. Causa principal de ictus isquémico. Oclusión de ACM, carótida o basilar. 26036001 pertenece a la terminología snomed 26036001 es de tipo Class 26036001 es de tipo Clinical_Finding"
